4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
1	[-e]	4608
1	[y*Ny]	3152
1	[y*nw]	3108
1	[y*ch]	3095
1	[a*è]	2652
1	[a*gb]	2591
1	[a*o]	2575
1	[a*n]	2564
1	[n*kp]	2077
1	[n*b]	2061
1	[+B]	85
1	[+r]	27
1	[+ny]	16
1	[+o]	15
1	[+i]	11
1	[+e]	9
1	[+a]	5

4.99083,7.05444	5.0135,7.069
4	[-i]	5632
3	[ị*i]	21003
3	[o*u]	7710
3	[-o]	7680
3	[ụ*a]	7173
3	[-e]	4608
3	[+ọ]	21
3	[+o]	15
2	[s*gh]	21544
2	[t*gh]	18984
2	[t*l]	18970
2	[z*b]	17933
2	[kp*z]	14883
2	[w*kw]	12305
2	[w*i]	12299
2	[h*r]	10267
2	[h*g]	10252
2	[k*b]	9741
2	[d*s]	9258
2	[d*ch]	9239
2	[d*b]	9229
2	[kw*s]	8746
2	[-ụ]	7168
2	[b*ny]	6672
2	[g*nw]	6180
2	[g*r]	6171
2	[e*u]	4638
2	[+s]	42
2	[+r]	27
2	[+e]	9
2	[+a]	5
2	[+n]	4
1	[)*n]	45060
1	[bhh*ny]	39952
1	[W*K]	32821
1	[ṅ*h]	30740
1	[bh*n̄]	29245
1	[p*gh]	28200
1	[p*b]	28173
1	[I*!]	27649
1	[Ị*ọ]	25109
1	[O*.]	24579
1	[kh*h]	24084
1	[M*ny]	23568
1	[A*gh]	23080
1	[A*i]	23051
1	[gw*l]	22554
1	[H*a]	22021
1	[s*gb]	21535
1	[s*r]	21531
1	[s*l]	21530
1	[s*kw]	21521
1	[s*j]	21514
1	[ị*gb]	21023
1	[ị*u]	21022
1	[ị*o]	21007
1	[ị*ụ]	21006
1	[ị*e]	21001
1	[-ị]	20992
1	[gh*th]	20547
1	[gh*h]	20500
1	[gh*j]	20490
1	[t*p]	18999
1	[t*gw]	18988
1	[t*s]	18986
1	[t*gb]	18975
1	[t*kp]	18973
1	[t*w]	18968
1	[t*ny]	18960
1	[t*g]	18956
1	[t*a]	18949
1	[nw*ch]	18455
1	[nw*y]	18438
1	[z*t]	17957
1	[z*d]	17938
1	[N*gb]	17439
1	[N*k]	17427
1	[N*n]	17412
1	[f*W]	16448
1	[f*s]	16426
1	[gb*gh]	15912
1	[gb*kw]	15889
1	[-u]	15360
1	[kp*gw]	14892
1	[kp*t]	14885
1	[kp*b]	14861
1	[kp*j]	14858
1	[sh*r]	14363
1	[r*s]	13866
1	[r*f]	13856
1	[r*sh]	13852
1	[r*w]	13848
1	[r*ch]	13847
1	[r*h]	13844
1	[r*b]	13837
1	[l*f]	13344
1	[l*kp]	13341
1	[l*k]	13331
1	[l*b]	13325
1	[m*t]	12837
1	[m*u]	12830
1	[m*h]	12820
1	[m*n]	12804
1	[w*gh]	12328
1	[w*l]	12314
1	[w*ch]	12311
1	[w*h]	12308
1	[w*k]	12307
1	[w*o]	12303
1	[w*b]	12301
1	[ch*-]	11827
1	[ch*M]	11822
1	[ch*m]	11801
1	[ch*h]	11796
1	[ch*kw]	11793
1	[-ch]	11776
1	[ọ*ụ]	10766
1	[ọ*i]	10763
1	[ọ*n]	10756
1	[-ọ]	10752
1	[h*p]	10295
1	[h*s]	10282
1	[h*sh]	10268
1	[h*kw]	10257
1	[h*j]	10250
1	[k*p]	9783
1	[k*s]	9770
1	[k*w]	9752
1	[k*ch]	9751
1	[k*j]	9738
1	[d*gb]	9247
1	[d*u]	9246
1	[d*k]	9235
1	[d*kw]	9233
1	[d*y]	9222
1	[kw*gb]	8735
1	[kw*kp]	8733
1	[kw*j]	8714
1	[kw*n]	8708
1	[ny*nw]	8228
1	[o*e]	7689
1	[o*n]	7684
1	[ụ*à]	7266
1	[ụ*gw]	7212
1	[ụ*h]	7188
1	[b*s]	6698
1	[b*t]	6693
1	[b*f]	6688
1	[b*e]	6665
1	[b*n]	6660
1	[g*t]	6181
1	[g*l]	6170
1	[g*ny]	6160
1	[i*I]	5686
1	[i*ị]	5673
1	[i*t]	5669
1	[i*m]	5657
1	[i*E]	5654
1	[i*ọ]	5653
1	[i*j]	5642
1	[i*a]	5637
1	[j*gw]	5164
1	[j*z]	5155
1	[j*kp]	5149
1	[j*sh]	5148
1	[j*l]	5146
1	[j*ch]	5143
1	[j*k]	5139
1	[j*kw]	5137
1	[j*g]	5132
1	[e*ị]	4649
1	[e*n]	4612
1	[y*nw]	3108
1	[y*r]	3099
1	[y*d]	3090
1	[y*ny]	3088
1	[a*gb]	2591
1	[a*u]	2590
1	[a*o]	2575
1	[n*u]	2078
1	[n*kp]	2077
1	[n*m]	2073
1	[n*h]	2068
1	[n*d]	2066
1	[.*Ọ]	1574
1	[!*Ị]	561
1	[+B]	85
1	[+t]	37
1	[+N]	34
1	[+kp]	29
1	[+m]	25
1	[+w]	24
1	[+h]	20
1	[+ny]	16
1	[+ụ]	14
1	[+i]	11

4.99083,7.05444	5.1335,7.0165
8	[+à]	98
6	[a*à]	2658
5	[ụ*ụ̀]	7268
4	[ọ*à]	10850
4	[i*è]	5724
4	[e*è]	4700
4	[+r]	27
3	[-e]	4608
3	[+è]	92
3	[+nw]	36
3	[+a]	5
2	[z*b]	17933
2	[u*ù]	15493
2	[u*è]	15452
2	[-ọ]	10752
2	[d*b]	9229
2	[ụ*ā]	7245
2	[+ụ̀]	100
2	[+ọ̀]	94
2	[+ị]	41
2	[+o]	15
1	[)*n]	45060
1	[bhh*ny]	39952
1	[ṅ*h]	30740
1	[p*t]	28197
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[O*è]	24668
1	[O*.]	24579
1	[kh*ụ̀]	24164
1	[s*gb]	21535
1	[s*r]	21531
1	[s*l]	21530
1	[s*o]	21519
1	[s*j]	21514
1	[ị*ị̄]	21123
1	[ị*à]	21090
1	[G*k]	19987
1	[Ọ*m̀]	19569
1	[t*nw]	18980
1	[t*ny]	18960
1	[N*l]	17434
1	[f*s]	16426
1	[gb*ē]	15999
1	[gb*kw]	15889
1	[-gb]	15872
1	[u*ī]	15497
1	[u*ū]	15492
1	[u*ā]	15437
1	[kp*b]	14861
1	[sh*gh]	14376
1	[r*f]	13856
1	[r*sh]	13852
1	[r*h]	13844
1	[r*b]	13837
1	[m*à]	12898
1	[m*s]	12842
1	[m*t]	12837
1	[m*h]	12820
1	[m*kw]	12817
1	[m*i]	12811
1	[w*ị]	12329
1	[w*o]	12303
1	[ch*ị]	11817
1	[ch*sh]	11804
1	[ch*m]	11801
1	[ch*kw]	11793
1	[E*m̄]	11400
1	[E*è]	11356
1	[ọ*ọ̄]	10882
1	[ọ*ē]	10879
1	[ọ*ò]	10871
1	[ọ*ị]	10793
1	[ọ*j]	10762
1	[ọ*a]	10757
1	[ọ*n]	10756
1	[h*r̃]	10374
1	[h*t]	10277
1	[h*r]	10267
1	[h*g]	10252
1	[h*j]	10250
1	[h*a]	10245
1	[k*ụ̀]	9828
1	[k*ị]	9769
1	[k*sh]	9756
1	[k*d]	9746
1	[d*h]	9236
1	[d*k]	9235
1	[d*y]	9222
1	[kw*s]	8746
1	[kw*w]	8728
1	[kw*o]	8719
1	[kw*j]	8714
1	[-kw]	8704
1	[ny*n]	8196
1	[o*e]	7689
1	[ụ*ù]	7301
1	[ụ*ụ̄]	7286
1	[ụ*hw]	7283
1	[ụ*à]	7266
1	[ụ*r]	7195
1	[b*ì]	6753
1	[b*w]	6680
1	[b*ụ]	6670
1	[g*ụ̄]	6262
1	[g*t]	6181
1	[g*nw]	6180
1	[g*r]	6171
1	[i*ǹ]	5731
1	[i*à]	5730
1	[i*ì]	5729
1	[i*ị]	5673
1	[i*gb]	5663
1	[-i]	5632
1	[j*kp]	5149
1	[j*ch]	5143
1	[j*e]	5129
1	[e*ụ̀]	4708
1	[e*u]	4638
1	[e*h]	4628
1	[e*ny]	4624
1	[e*b]	4621
1	[?*ọ̄]	3714
1	[a*ị̀]	2695
1	[a*ụ̄]	2678
1	[a*è]	2652
1	[a*-]	2611
1	[a*k]	2579
1	[a*o]	2575
1	[n*ī]	2185
1	[n*h]	2068
1	[.*ō]	1665
1	[+ū]	132
1	[+ò]	119
1	[+s]	42
1	[+i]	11
1	[+n]	4

4.99083,7.05444	5.3999,7.0167
4	[e*è]	4700
3	[ụ*ụ̀]	7268
2	[ch*nw]	11812
2	[ọ*à]	10850
2	[g*nw]	6180
2	[a*k]	2579
2	[+à]	98
1	[bhh*ny]	39952
1	[ṅ*h]	30740
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[O*ə]	24720
1	[s*l]	21530
1	[gh*l]	20506
1	[t*e]	18953
1	[-t]	18944
1	[z*v]	17993
1	[N*n]	17412
1	[u*ī]	15497
1	[u*ē]	15487
1	[u*ì]	15457
1	[-u]	15360
1	[r*ī]	13961
1	[r*ā]	13901
1	[m*i]	12811
1	[w*à]	12386
1	[ch*m]	11801
1	[-ch]	11776
1	[E*m̄]	11400
1	[E*è]	11356
1	[h*ụ̀]	10340
1	[h*g]	10252
1	[k*sh]	9756
1	[d*h]	9236
1	[d*k]	9235
1	[d*y]	9222
1	[kw*r̃]	8838
1	[kw*ny]	8720
1	[ụ*à]	7266
1	[ụ*ā]	7245
1	[ụ*a]	7173
1	[b*z]	6691
1	[b*sh]	6684
1	[b*ch]	6679
1	[g*k]	6163
1	[g*ny]	6160
1	[i*ǹ]	5731
1	[i*è]	5724
1	[i*o]	5647
1	[e*ī]	4745
1	[e*ụ̀]	4708
1	[e*ị]	4649
1	[e*h]	4628
1	[a*hw]	2675
1	[a*ọ]	2581
1	[n*ọ]	2069
1	[n*h]	2068
1	[n*j]	2058
1	[.*ō]	1665
1	[+m]	25
1	[+ọ]	21
1	[+n]	4

4.99083,7.05444	5.4244,7.1967
2	[-u]	15360
2	[i*í]	5783
2	[e*o]	4623
2	[+nw]	36
2	[+l]	26
2	[+ọ]	21
2	[+n]	4
1	[)*É]	45206
1	[ṅ*h]	30740
1	[Ị*ọ]	25109
1	[O*Ò]	24749
1	[O*E]	24598
1	[kh*n]	24068
1	[A*u]	23070
1	[s*l]	21530
1	[s*ch]	21527
1	[ị*ì]	21089
1	[ị*u]	21022
1	[t*s]	18986
1	[z*kp]	17949
1	[f*y]	16390
1	[gb*b]	15885
1	[u*á]	15465
1	[u*ì]	15457
1	[r*h]	13844
1	[r*ny]	13840
1	[l*g]	13324
1	[m*u]	12830
1	[m*ch]	12823
1	[m*ny]	12816
1	[-m]	12800
1	[w*n]	12292
1	[ch*m]	11801
1	[E*è]	11356
1	[ọ*è]	10844
1	[ọ*a]	10757
1	[ọ*n]	10756
1	[h*k]	10259
1	[h*g]	10252
1	[k*è]	9820
1	[k*sh]	9756
1	[k*e]	9737
1	[d*kw]	9233
1	[d*y]	9222
1	[kw*è]	8796
1	[kw*s]	8746
1	[kw*kp]	8733
1	[ny*l]	8218
1	[o*ì]	7777
1	[-o]	7680
1	[ụ*í]	7319
1	[ụ*ụ̀]	7268
1	[ụ*à]	7266
1	[ụ*ị]	7209
1	[b*à]	6754
1	[b*z]	6691
1	[b*l]	6682
1	[g*nw]	6180
1	[g*kw]	6161
1	[i*o]	5647
1	[i*e]	5641
1	[j*l]	5146
1	[j*.]	5123
1	[e*è]	4700
1	[-e]	4608
1	['*á]	4201
1	[-y]	3072
1	[a*à]	2658
1	[a*ị]	2601
1	[a*Y]	2593
1	[a*ny]	2576
1	[a*ụ]	2574
1	[n*h]	2068
1	[.*!]	1537
1	[+-]	51
1	[+ị]	41
1	[+gb]	31
1	[+h]	20

4.99083,7.05444	5.4543,7.0247
4	[+e]	9
2	[t*m]	18969
2	[ch*m]	11801
2	[kw*nw]	8740
2	[g*nw]	6180
2	[i*o]	5647
2	[+i]	11
1	[bhh*t]	39973
1	[ṅ*h]	30740
1	[Ị*ọ]	25109
1	[O*b]	24589
1	[kh*kp]	24093
1	[gw*kp]	22557
1	[gw*d]	22546
1	[s*d]	21522
1	[z*D]	17970
1	[N*n]	17412
1	[f*o]	16399
1	[gb*b]	15885
1	[sh*n]	14340
1	[r*ny]	13840
1	[l*nw]	13348
1	[m*i]	12811
1	[ch*k]	11795
1	[ọ*n]	10756
1	[h*l]	10266
1	[h*g]	10252
1	[h*j]	10250
1	[k*sh]	9756
1	[k*ọ]	9749
1	[d*k]	9235
1	[d*y]	9222
1	[kw*ọ]	8725
1	[kw*b]	8717
1	[ny*s]	8234
1	[-o]	7680
1	[ụ*ị]	7209
1	[ụ*a]	7173
1	[g*ny]	6160
1	[i*e]	5641
1	[e*ị]	4649
1	[e*g]	4620
1	[e*i]	4619
1	['*ọ]	4117
1	[-y]	3072
1	[a*kp]	2589
1	[n*h]	2068
1	[.*!]	1537
1	[+kp]	29
1	[+l]	26
1	[+m]	25
1	[+w]	24
1	[+k]	19
1	[+kw]	17
1	[+n]	4

4.99083,7.05444	5.4829,7.0337
2	[ụ*à]	7266
2	[ụ*ā]	7245
1	[Ị*ọ]	25109
1	[kh*r̃]	24198
1	[A*o]	23055
1	[s*r]	21531
1	[t*m]	18969
1	[gb*b]	15885
1	[-gb]	15872
1	[m*è]	12892
1	[m*kw]	12817
1	[m*ny]	12816
1	[m*i]	12811
1	[w*n]	12292
1	[ch*à]	11874
1	[ch*m]	11801
1	[ch*k]	11795
1	[-ch]	11776
1	[E*è]	11356
1	[ọ*è]	10844
1	[h*g]	10252
1	[k*sh]	9756
1	[k*b]	9741
1	[d*b]	9229
1	[d*y]	9222
1	[kw*h]	8724
1	[ny*nw]	8228
1	[o*u]	7710
1	[-o]	7680
1	[ụ*s]	7210
1	[ụ*a]	7173
1	[b*r]	6683
1	[b*l]	6682
1	[g*nw]	6180
1	[i*ị̄]	5763
1	[i*ì]	5729
1	[i*u]	5662
1	[e*ū]	4740
1	[e*ē]	4735
1	[e*ị]	4649
1	[e*f]	4640
1	['*è]	4188
1	[y*è]	3164
1	[a*ị]	2601
1	[a*kp]	2589
1	[.*!]	1537
1	[+ī]	137
1	[+ǹ]	99
1	[+ā]	77
1	[+nw]	36
1	[+n]	4

4.99083,7.05444	5.522,6.923
2	[ụ*ā]	7245
2	[+e]	9
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[s*l]	21530
1	[t*a]	18949
1	[nw*l]	18458
1	[N*n]	17412
1	[gb*b]	15885
1	[sh*l]	14362
1	[m*kp]	12829
1	[ch*kp]	11805
1	[ch*k]	11795
1	[ọ*à]	10850
1	[h*g]	10252
1	[k*sh]	9756
1	[d*s]	9258
1	[ny*nw]	8228
1	[-o]	7680
1	[ụ*ụ̀]	7268
1	[ụ*a]	7173
1	[g*nw]	6180
1	[i*n̄]	5693
1	[a*-]	2611
1	[a*ị]	2601
1	[a*o]	2575
1	[-a]	2560
1	[n*h]	2068
1	[.*ә]	1664
1	[+m̄]	136
1	[+ị̄]	131
1	[+m]	25
1	[+w]	24
1	[+ọ]	21

4.99083,7.05444	5.5832,7.05
1	[Ị*ọ]	25109
1	[kh*r̃]	24198
1	[s*r]	21531
1	[s*d]	21522
1	[w*n]	12292
1	[ch*ị]	11817
1	[ch*m]	11801
1	[ch*k]	11795
1	[ọ*n]	10756
1	[h*g]	10252
1	[k*bhh]	9806
1	[k*sh]	9756
1	[d*bhh]	9294
1	[d*y]	9222
1	[ny*nw]	8228
1	[ụ*à]	7266
1	[g*nw]	6180
1	[i*ị̄]	5763
1	[e*ị]	4649
1	[a*-]	2611
1	[a*ọ]	2581
1	[n*h]	2068
1	[+a]	5
1	[+n]	4

4.99083,7.05444	5.5834,7.05
2	[a*ọ]	2581
2	[+nw]	36
2	[+i]	11
2	[+n]	4
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[O*ù]	24709
1	[kh*d]	24082
1	[s*r]	21531
1	[s*l]	21530
1	[s*d]	21522
1	[N*n]	17412
1	[gb*b]	15885
1	[-gb]	15872
1	[r*z]	13859
1	[r*sh]	13852
1	[-l]	13312
1	[m*kw]	12817
1	[m*j]	12810
1	[w*n]	12292
1	[ch*gh]	11816
1	[ch*m]	11801
1	[ch*k]	11795
1	[ọ*ì]	10849
1	[h*g]	10252
1	[k*sh]	9756
1	[d*l]	9242
1	[d*b]	9229
1	[d*g]	9228
1	[kw*l]	8730
1	[ny*nw]	8228
1	[o*E]	7702
1	[o*e]	7689
1	[ụ*ā]	7245
1	[ụ*w]	7192
1	[ụ*o]	7183
1	[g*kw]	6161
1	[i*u]	5662
1	[i*ọ]	5653
1	[e*ị]	4649
1	[e*E]	4630
1	[-a]	2560
1	[n*m]	2073
1	[n*h]	2068
1	[.*1]	1660
1	[+-]	51
1	[+t]	37
1	[+m]	25

4.99083,7.05444	5.6027,7.322
2	[d*y]	9222
2	[+è]	92
1	[ṅ*h]	30740
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[s*l]	21530
1	[ị*ì]	21089
1	[gb*ū]	16004
1	[-gb]	15872
1	[u*ì]	15457
1	[r*sh]	13852
1	[w*n]	12292
1	[ch*kp]	11805
1	[ch*m]	11801
1	[ch*k]	11795
1	[-ch]	11776
1	[ọ*ā]	10829
1	[ọ*n]	10756
1	[h*g]	10252
1	[k*sh]	9756
1	[kw*nw]	8740
1	[kw*f]	8736
1	[kw*ọ]	8725
1	[ny*nw]	8228
1	[-o]	7680
1	[ụ*à]	7266
1	[ụ*w]	7192
1	[g*nw]	6180
1	[i*kw]	5649
1	[e*è]	4700
1	[e*ị]	4649
1	['*ọ̄]	4226
1	[?*e]	3593
1	[a*s]	2602
1	[n*h]	2068
1	[+ọ̀]	94
1	[+n]	4

4.99083,7.05444	5.664,7.012
2	[+ọ̀]	94
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[s*l]	21530
1	[ị*ọ]	21013
1	[N*n]	17412
1	[gb*b]	15885
1	[-gb]	15872
1	[r*sh]	13852
1	[-l]	13312
1	[m*ṅ]	12860
1	[w*n]	12292
1	[ch*m]	11801
1	[ch*k]	11795
1	[h*t]	10277
1	[h*g]	10252
1	[k*sh]	9756
1	[o*n]	7684
1	[ụ*w]	7192
1	[ụ*o]	7183
1	[b*hw]	6771
1	[e*ù]	4741
1	[-a]	2560
1	[.*,]	1538
1	[+n]	4

4.99083,7.05444	5.70003,7.73332
2	[b*w]	6680
2	[+ụ]	14
2	[+n]	4
1	[ṅ*p]	30775
1	[I*O]	27696
1	[Ị*ọ]	25109
1	[s*l]	21530
1	[s*o]	21519
1	[t*m]	18969
1	[N*n]	17412
1	[gb*kh]	15919
1	[-gb]	15872
1	[u*ụ]	15374
1	[sh*h]	14356
1	[m*j]	12810
1	[ch*kp]	11805
1	[ch*m]	11801
1	[ch*k]	11795
1	[-ch]	11776
1	[ọ*o]	10767
1	[ọ*a]	10757
1	[h*r]	10267
1	[h*g]	10252
1	[k*gh]	9768
1	[k*f]	9760
1	[d*y]	9222
1	[ny*o]	8207
1	[-o]	7680
1	[ụ*u]	7198
1	[ụ*w]	7192
1	[g*nw]	6180
1	[i*e]	5641
1	[e*ị]	4649
1	['*i]	4107
1	[n*M]	2094
1	[n*nw]	2084
1	[n*h]	2068
1	[+nw]	36
1	[+r]	27
1	[+l]	26

4.99083,7.05444	5.71795,7.08217
1	[Ị*ọ]	25109
1	[s*l]	21530
1	[-gb]	15872
1	[w*n]	12292
1	[ọ*n]	10756
1	[kw*nw]	8740
1	[ụ*w]	7192
1	[a*s]	2602
1	[n*i]	2059
1	[+h]	20
1	[+n]	4

4.99083,7.05444	5.72517,7.13325
3	[+à]	98
3	[+e]	9
2	[ụ*à]	7266
2	[ụ*ā]	7245
2	[b*r]	6683
2	[+g]	12
2	[+n]	4
1	[ṅ*h]	30740
1	[I*ọ̀]	27742
1	[O*u]	24606
1	[s*p]	21559
1	[s*gb]	21535
1	[s*l]	21530
1	[t*s]	18986
1	[z*kp]	17949
1	[N*n]	17412
1	[gb*r]	15899
1	[-gb]	15872
1	[u*ē]	15487
1	[u*ụ]	15374
1	[r*sh]	13852
1	[m*gw]	12844
1	[m*ny]	12816
1	[m*g]	12812
1	[m*i]	12811
1	[w*n]	12292
1	[ch*kp]	11805
1	[ch*m]	11801
1	[ch*o]	11791
1	[ọ*ā]	10829
1	[ọ*e]	10761
1	[ọ*a]	10757
1	[ọ*n]	10756
1	[h*ọ̀]	10334
1	[h*a]	10245
1	[k*kp]	9757
1	[k*sh]	9756
1	[k*o]	9743
1	[d*kw]	9233
1	[d*y]	9222
1	[kw*s]	8746
1	[kw*nw]	8740
1	[kw*b]	8717
1	[ny*r]	8219
1	[-o]	7680
1	[ụ*ị]	7209
1	[ụ*w]	7192
1	[ụ*a]	7173
1	[b*ụ]	6670
1	[i*a]	5637
1	[j*l]	5146
1	[j*b]	5133
1	[e*è]	4700
1	[e*l]	4634
1	[e*ny]	4624
1	[e*i]	4619
1	['*ō]	4225
1	[?*è]	3676
1	[y*j]	3082
1	[a*hw]	2675
1	[a*à]	2658
1	[a*ị]	2601
1	[n*h]	2068
1	[n*j]	2058
1	[.*ǹ]	1635
1	[+ē]	127
1	[+è]	92
1	[+-]	51
1	[+ọ]	21
1	[+kw]	17

4.99083,7.05444	5.783,6.8667
1	[I*kp]	27677
1	[Ị*ọ]	25109
1	[O*Ị̀]	24744
1	[s*r]	21531
1	[s*l]	21530
1	[N*n]	17412
1	[gb*b]	15885
1	[-gb]	15872
1	[sh*l]	14362
1	[sh*y]	14342
1	[-l]	13312
1	[m*l]	12826
1	[ch*m]	11801
1	[ch*k]	11795
1	[h*t]	10277
1	[ny*n]	8196
1	[o*n]	7684
1	[ụ*gw]	7212
1	[e*i]	4619
1	[-a]	2560
1	[.*:]	1659
1	[,*s]	1066
1	[+ọ̀]	94
1	[+bhh]	78
1	[+t]	37
1	[+nw]	36

4.99083,7.05444	5.80897,7.06093
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[gb*w]	15896
1	[ch*k]	11795
1	[k*kh]	9775
1	[d*y]	9222
1	[kw*nw]	8740
1	['*ụ̀]	4196
1	[,*e]	1033
1	[+ch]	23
1	[+n]	4

4.99083,7.05444	5.85389,6.86
2	[+n]	4
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[s*w]	21528
1	[gb*s]	15914
1	[l*i]	13323
1	[m*v]	12873
1	[w*n]	12292
1	[ch*bhh]	11854
1	[ch*k]	11795
1	[ọ*n]	10756
1	[h*j]	10250
1	[h*n]	10244
1	[k*t]	9765
1	[d*y]	9222
1	[o*n]	7684
1	[ụ*ō]	7297
1	[ụ*ụ̀]	7268
1	[b*g]	6668
1	[e*ị]	4649
1	[e*n]	4612
1	['*á]	4201
1	[a*s]	2602
1	[.*ụ̀]	1636
1	[,*ḿ]	1186
1	[+gw]	44
1	[+i]	11

4.99083,7.05444	5.85916,7.00299
2	[+-]	51
1	[I*ọ̀]	27742
1	[O*ō]	24705
1	[s*r]	21531
1	[s*l]	21530
1	[N*n]	17412
1	[m*ọ̀]	12894
1	[ọ*n]	10756
1	[h*n]	10244
1	[k*kh]	9775
1	[d*ch]	9239
1	[d*y]	9222
1	[ụ*ì]	7265
1	[b*g]	6668
1	[e*a]	4613
1	[y*à]	3170
1	[a*ọ]	2581
1	[.*-]	1587
1	[+ị]	41
1	[+e]	9
1	[+n]	4

4.99083,7.05444	5.9332,7.0834
1	[ch*k]	11795
1	[ch*a]	11781
1	[h*n]	10244
1	[d*y]	9222
1	[ny*nw]	8228
1	[e*ị]	4649
1	[+ị]	41
1	[+n]	4

4.99083,7.05444	5.95007,7.11665
1	[Ị*ọ]	25109
1	[N*n]	17412
1	[ch*m]	11801
1	[h*i]	10251
1	[d*y]	9222
1	[+s]	42
1	[+n]	4

4.99083,7.05444	5.97889,7.09399
1	[I*ch]	27671
1	[Ị*ọ]	25109
1	[N*n]	17412
1	[gb*è]	15964
1	[w*h]	12308
1	[ch*y]	11782
1	[h*i]	10251
1	[h*n]	10244
1	[d*k]	9235
1	[d*y]	9222
1	[e*b]	4621
1	[a*ā]	2637
1	[n*y]	2054
1	[+ọ̀]	94
1	[+t]	37
1	[+r]	27
1	[+ọ]	21
1	[+e]	9
1	[+a]	5
1	[+n]	4

4.99083,7.05444	5.9963,6.925
3	[+n]	4
2	[+m]	25
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[s*r]	21531
1	[ị*ū]	21124
1	[gb*w]	15896
1	[sh*h]	14356
1	[sh*y]	14342
1	[m*bh]	12857
1	[ch*b]	11789
1	[h*bhh]	10318
1	[ny*nw]	8228
1	[ụ*à]	7266
1	[i*ọ]	5653
1	[i*a]	5637
1	[,*ù]	1157
1	[+ọ̀]	94
1	[+kp]	29
1	[+h]	20

4.99083,7.05444	6.0038,6.9155
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[gb*ṅ]	15932
1	[ny*nw]	8228
1	[ụ*à]	7266
